country,region,year,ypp,school,avgage,exper,hum_cap,lf2,pop,sscap,kpw,lfpr
germany,Western Europe,1880,637.9646,1.85554,31.27015,23.41461,2.784017421011976,17632,45173,1770.4210233761723,1770.4210233761723,0.3903216523144356
germany,Western Europe,1890,814.2383,2.06127,31.61269,23.55142,2.8683501389607793,20772,49427,1825.2683572811688,1919.8781035091674,0.42025613531066014
germany,Western Europe,1900,938.1426,2.76714,31.75076,22.98362,3.122746802730701,23799,56365,3143.999809715564,2796.819600277454,0.4222301073361128
germany,Western Europe,1910,1059.884,3.29147,31.74858,22.45711,3.318984955877213,26826,64928,3774.6899609324837,3571.579311639626,0.4131653523903401
germany,Western Europe,1925,1089.67,3.6993,32.8595,23.1602,3.548979154426408,32009,62408,4712.217042566804,4113.537473957635,0.5128989873093193
germany,Western Europe,1933,1051.028,3.91837,34.58841,24.67004,3.744173880581742,32332,65362,1918.159961800131,3133.968120498001,0.4946605061044644
germany,Western Europe,1939,1701.631,4.03501,35.07283,25.03781,3.8193643184947494,34618,69311,2091.897049090858,3198.578856245324,0.4994589603381859
germany,Western Europe,1950,3421,4.71892,36.10487,25.38595,4.112795633199254,22078,49820,10538.287333719723,9511.424129225365,0.44315535929345645
germany,Western Europe,1961,6817,4.81379,37.45889,26.6451,4.221337411520685,26723,56176,21511.451239452523,20735.03126040444,0.4757013671318713
germany,Western Europe,1970,9425,5.10476,39.82938,28.72462,4.445431768415434,26610,60652,45680.72508964147,40591.924052049784,0.4387324408098661
germany,Western Europe,1980,11920,7.88393,40.49922,26.61529,5.753871887871907,26014,61566,64514.939287898604,60277.09262165871,0.42253841405970827
germany,Western Europe,1990,14341,9.92326,41.12837,25.2051,6.512516886416744,30670,79364,60986.921313287574,62806.611860534045,0.3864472556826773
germany,Western Europe,2000,17191.21,11.09744,42.62617,25.52873,7.085829892384764,40900,82797,62125.66051942372,64981.67181909288,0.4939792504559344
egermany,Eastern Europe,1950,538.103,4.20853,36.43264,26.2241,3.950183367549557,7923,18388,759.3365350372826,759.3365350372826,0.4308788340221884
egermany,Eastern Europe,1964,3455.41,4.04786,38.43685,28.38899,3.9826005084090395,8048,17004,6607.625106077581,6475.775620163804,0.4733003999059045
egermany,Eastern Europe,1971,4999,5.17505,38.62086,27.44582,4.419192557044519,8216,17068,24435.032143153454,18128.549846896585,0.4813686430747598
egermany,Eastern Europe,1980,7638,7.18416,38.26992,25.08577,5.253203074547212,8959.981,16706,39474.971577934826,34387.229720289135,0.5363331138513109
egermany,Eastern Europe,1988,10435,8.47792,40.08456,25.60665,5.9360088691915145,9520.5,16500,43293.37371759213,43437.80183586983,0.577
china,Asia,1933,517.2745,0.52974,29.33753,22.80779,2.3067363729687695,211606,500000,958.1843549063116,958.1843549063116,0.423212
china,Asia,1953,499.8383,0.74225,30.96128,24.21903,2.4295617711536144,214831,590195,3227.8830117950924,2785.7335812748292,0.3640000338871051
china,Asia,1960,567,1.64447,34.1996,26.55513,2.832656602150451,286158.4,667073,2241.556677242436,2447.915176084138,0.42897613904325316
china,Asia,1970,696,2.71546,33.73691,25.02145,3.2033015105719294,431000,818315,1891.2818038471341,2069.6900024953848,0.5266920440172794
china,Asia,1982,963,3.8344,32.85208,23.01768,3.6049791965534563,548000,1003181,3370.91315183599,3221.298756682479,0.5462623394980567
china,Asia,1990,1324,5.33348,34.01981,22.68632,4.192872248831276,687886.5,1160011,3962.3768312113466,4003.038947756515,0.5929999801726018
china,Asia,2000,2708.251,6.23842,35.46935,23.23093,4.637790187036852,756800,1261832,11307.746575190273,10609.124735235331,0.599762884441035
russia,Eastern Europe,1917,1101.095,0.76311,28.58494,21.82183,2.3375481946494348,65836.58,139787,3321.58910345799,3321.58910345799,0.47097784486397165
russia,Eastern Europe,1926,996.8583,1.51199,28.7949,21.28291,2.557518365873323,82757,147028,2774.4242962472304,2773.2863871309883,0.5628655766248606
russia,Eastern Europe,1939,1642.1,2.02353,33.01645,24.99291,2.918445174561271,90636.45,170467,3415.1406412123374,3704.561684051487,0.5316949908193375
russia,Eastern Europe,1959,2686.673,1.58791,35.40831,27.82039,2.852249553639049,105471,208827,8518.427358252518,8269.291138555736,0.505064000344783
russia,Eastern Europe,1970,4088,5.86361,37.83644,25.97283,4.653729773893414,116634,241720,16010.503827438575,15280.069960302058,0.4825169617739533
russia,Eastern Europe,1980,6119,8.41918,40.05529,25.63612,5.914719059371511,133783,265546,25358.435604599814,24346.588910837738,0.5038034841421072
russia,Eastern Europe,1989,7741,9.66252,40.30441,24.64189,6.345646581041871,147266.6,287630,32697.798250561515,31794.737867969183,0.512000139067552
russia,Eastern Europe,2000,5519.609,11.397,41.06572,23.66872,7.031865265478404,77700,146002,79545.80561510996,39358.83251622046,0.5321844906234161
greece,Southern Europe,1910,827.3571,1.15611,33.36923,26.21312,2.64184675232814,981.0229,2632,2004.073202154035,2004.073202154035,0.3727290653495441
greece,Southern Europe,1920,1003.776,1.33599,31.25797,23.92197,2.6184386368591217,1867,5009,1576.3641763751264,1755.5929169302942,0.37272908764224394
greece,Southern Europe,1928,1217.813,1.98242,32.61979,24.63737,2.8872197070942103,2747,6283,3547.2441324853635,2912.1572305830673,0.4372115231577272
greece,Southern Europe,1950,1409,2.8614,33.70906,24.84766,3.258291570880156,2839,7612,6594.184858667173,6211.427429948024,0.37296374146085126
greece,Southern Europe,1961,2318,4.03886,35.69212,25.65326,3.8539477016050037,3545,8387,8271.761893839475,8455.392221547443,0.422677953976392
greece,Southern Europe,1971,4506,5.04722,38.74689,27.69967,4.374590869964277,3237,8770,21056.83198447791,20530.008570627775,0.36909920182440137
greece,Southern Europe,1980,5901,6.70239,39.24861,26.54622,5.102282558014499,3543,9643,33751.674262958164,31325.35348107647,0.3674167790106813
greece,Southern Europe,1990,6768,8.5102,40.93869,26.42849,6.013325961193427,3810,10123,33671.64845208628,34232.96140777928,0.3763706411142942
greece,Southern Europe,2000,11644.11,9.85948,42.41684,26.55735,6.601711938373134,4600,10602,38993.261915425384,42232.119946876686,0.4338803999245425
ireland,Western Europe,1926,1042.156,2.62098,34.67527,26.05429,3.2082351870869847,1312.66,2982,2947.3122544524563,2947.3122544524563,0.4401945003353454
ireland,Western Europe,1936,1047.072,3.9487,35.45894,25.51024,3.805098964338525,1339,2968,2889.2291705117364,2889.113562077052,0.4511455525606469
ireland,Western Europe,1951,2820,4.59836,36.07288,25.47452,4.068026530824591,1272,2961,5277.176876340354,5639.029054266941,0.42958459979736574
ireland,Western Europe,1961,3479,5.25341,37.88249,26.62908,4.4121363267679214,1108,2821,14854.654105346663,11873.342678283701,0.39276852180077987
ireland,Western Europe,1971,5130,6.2421,38.00703,25.76492,4.821735859237052,1120,2978,21965.0334283997,20826.32373564192,0.3760913364674278
ireland,Western Europe,1980,6823,7.65736,37.02738,23.37002,5.365014077334989,1250,3401,38267.39403557535,34847.8371511577,0.3675389591296677
ireland,Western Europe,1990,9274,9.02536,37.32996,22.30461,5.84482117540461,1286,3503,56485.247297819755,53382.1912158409,0.36711390236939767
ireland,Western Europe,2000,17507.4,9.5457,40.72338,25.17768,6.344967633182057,1604.927,3797,49889.33462346919,58787.634400450916,0.4226829075585989
italy,Southern Europe,1861,1744.704,0.14106,30.41538,24.27432,2.2434413412424052,11537.8,21780,2403.32490336648,2403.32490336648,0.529742883379247
italy,Southern Europe,1871,1572.089,0.53316,31.28698,24.75382,2.3817399690315058,14262,26803,3040.558603581504,2655.357266527438,0.5321046151550199
italy,Southern Europe,1881,1547.694,0.9786,31.83406,24.85546,2.5320329053719677,16741,28463,2807.7014778917733,2602.861745245528,0.5881670941221937
italy,Southern Europe,1890,1606.616,1.36012,31.59974,24.23962,2.6401253576784325,16597.5,30471,3839.06392542069,3406.0362570973384,0.5446982376686029
italy,Southern Europe,1901,1837.523,1.64551,31.97816,24.33265,2.747001628660696,16454,32479,3578.173422952713,3803.2085196643116,0.506604267372764
italy,Southern Europe,1911,2145.424,1.99416,32.3567,24.36255,2.8797082876288065,16401,34674,6843.716666467741,6035.1608394615705,0.47300571033050703
italy,Southern Europe,1921,2037.666,2.37499,32.65332,24.27833,3.0265398400501407,18283,37974,5316.608634845955,5465.403625799407,0.4814609996313267
italy,Southern Europe,1931,2362.851,2.89393,33.24463,24.3507,3.248122054664699,17262,41178,9390.242933105204,8575.85691438741,0.41920442954975956
italy,Southern Europe,1940,2660.416,3.23677,33.8312,24.59443,3.4134789801543173,18344,44348,11833.354692593542,10947.68765745528,0.4136375935780644
italy,Southern Europe,1951,2941,3.72146,34.79409,25.07263,3.668287749768212,19577,47517,13128.734779664906,12761.329271418635,0.4119999158196014
italy,Southern Europe,1961,4919,4.276,36.05278,25.77678,3.953957594572121,19519,50633,17582.01374068904,19008.269328476243,0.3854995753757431
italy,Southern Europe,1971,7603,4.89098,38.92091,28.02993,4.321043828342208,19806,54137,35812.52715796606,34372.88478864645,0.36584960378299497
italy,Southern Europe,1980,10323,7.31842,39.21183,25.8934,5.384669852494901,21271,56416,49612.50744399855,48030.16968548005,0.3770384288145207
italy,Southern Europe,1990,12488,9.28962,40.01717,24.72754,6.1946870669765355,21591,57661,70158.18963417012,65626.86688266059,0.3744472000138742
italy,Southern Europe,2000,16063.92,10.63083,42.50265,25.87182,6.896444576269856,25700,57634,67347.40438327265,68650.08150609958,0.44591734045875697
netherla,Western Europe,1849,1262.094,1.47572,32.53027,25.05455,2.714301918318166,1251,3055,3190.099970977377,3190.099970977377,0.4094926350245499
netherla,Western Europe,1859,1492.425,2.59166,32.78531,24.19366,3.111593579685264,1249,3309,4857.175788967699,4568.222754526935,0.3774554245995769
netherla,Western Europe,1869,1764.792,3.11962,33.41976,24.30014,3.345241873718664,1351.5,3581,6255.693264353929,5932.757251774899,0.3774085450991343
netherla,Western Europe,1879,1916.538,3.50635,33.36053,23.85417,3.498442956709508,1497,4013,7296.615908643939,6984.269527870607,0.3730376277099427
netherla,Western Europe,1889,2294.898,3.71994,33.15921,23.43928,3.575610747441784,1646,4512,6767.957220941411,7407.689424132788,0.36480496453900707
netherla,Western Europe,1899,2475.388,3.91538,33.53382,23.61844,3.68139589665316,1921,5102,11160.597098579989,9800.671259204208,0.3765190121520972
netherla,Western Europe,1909,2533.624,4.256,33.09453,22.83854,3.770637178335692,2258,5859,13120.64498930401,11765.819116016883,0.3853899982932241
netherla,Western Europe,1920,2799.473,4.34609,33.51427,23.16817,3.826861440448865,2718,6864,12178.759630776678,12339.055024523002,0.395979020979021
netherla,Western Europe,1930,3564.983,4.56688,34.42126,23.85438,3.9579451932395404,3181,7937,4063.6331944545423,7830.0184879267235,0.4007811515686027
netherla,Western Europe,1940,3232.472,4.97309,34.83392,23.86083,4.124133759347115,3535,8924,-906.7605389362078,2933.4351893516396,0.3961228148812192
netherla,Western Europe,1947,3931.01,5.13505,35.42514,24.29009,4.220670492897623,3866,9624,12481.657722207103,8363.115579279334,0.4017040731504572
netherla,Western Europe,1960,6077,5.65732,36.08218,24.42486,4.458529485973515,4170,11559,36453.91814660367,31829.626437500454,0.3607578510251752
netherla,Western Europe,1970,9199,6.22562,39.10218,26.87657,4.8818927340171365,4733,13168,46525.437239562714,47064.63702049906,0.35943195625759417
netherla,Western Europe,1980,11284,9.17018,39.54362,24.37344,6.111742984409921,5096,14150,72007.08795127927,66702.51578913737,0.36014134275618376
netherla,Western Europe,1990,13029,11.18728,40.23864,23.05136,6.860785914694385,6498,14952,59022.85304025269,60896.0329628564,0.43459069020866775
netherlands,Western Europe,2000,17988.56,12.2629,42.94319,24.68029,7.577398992978442,7400,15892,68574.71411746583,71859.44775932172,0.46564309086332745
norway,Western Europe,1855,938.9725,0.37354,32.98767,26.61413,2.3908176012109865,670.0529,1491,1895.5269008676503,1895.5269008676503,0.4493983232729712
norway,Western Europe,1865,1066.307,1.86477,32.49225,24.62748,2.841639004592959,765.4017,1699,3072.193240051763,2723.984126933704,0.4505012948793408
norway,Western Europe,1875,1277.177,2.78637,32.73235,23.94597,3.1813734307057207,814,1815,3941.569607361418,3693.585017942434,0.4484848484848485
norway,Western Europe,1880,1271.726,3.24375,32.78219,23.53843,3.360114329388697,794,1901,4014.6320146744047,3965.9439560807104,0.4176749079431878
norway,Western Europe,1890,1426.038,3.52006,33.04204,23.52198,3.4859025777783077,774,1987,6207.274457401675,5612.066936575268,0.3895319577252139
norway,Western Europe,1900,1549.572,3.70853,32.57534,22.86682,3.535398419253558,882,2241,7247.589383258259,6769.294759521288,0.39357429718875503
